"Generation","Abundance"
1,10
2,10.495
3,11.01424274875
4,11.5588892090211
5,12.1301532734848
6,12.7293039062371
7,13.3576673426521
8,14.0166293459429
9,14.707637518329
10,15.4322036641769
11,16.1919062018891
12,16.988392620661
13,17.8233819775024
14,18.6986674291217
15,19.6161187923965
16,20.5776851261925
17,21.5853973262445
18,22.6413707236701
19,23.7478076764413
20,24.9070001417915
