"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"175",NA,1.01246105919003,1.0625,1.05454545454545,1.00717703349282,NA,NA,NA
"176",NA,1.00820512820513,1.11764705882353,1.02586206896552,1.00475059382423,NA,NA,NA
"177",NA,1.08036622583927,1.10526315789474,1.14285714285714,1.06973995271868,NA,NA,NA
"178",NA,1.00282485875706,1.0952380952381,1.05147058823529,0.983425414364641,Inf,NA,NA
"179",NA,1.07511737089202,1.21739130434783,1.11888111888112,1.06404494382022,1,NA,NA
"180",NA,0.919650655021834,1,0.95,0.910242872228089,1,NA,NA
"181",NA,0.892687559354226,0.892857142857143,0.967105263157895,0.880510440835267,0.8,NA,NA
"182",NA,0.901063829787234,0.96,0.959183673469388,0.889328063241107,0.875,NA,NA
"183",NA,1.0543093270366,1.04166666666667,1.09219858156028,1.04888888888889,1,NA,NA
"184",NA,1.08958566629339,1.12,1.05194805194805,1.09463276836158,1.14285714285714,NA,NA
"185",NA,1.05549845837616,1.07142857142857,1.08641975308642,1.04645161290323,1.125,NA,NA
"186",NA,1.10029211295034,1.13333333333333,1.09090909090909,1.10110974106042,1.22222222222222,NA,NA
"187",NA,1.06991150442478,1.11764705882353,1.140625,1.05375139977604,1,NA,NA
"188",NA,0.944582299421009,0.973684210526316,0.977168949771689,0.935175345377258,1.09090909090909,NA,NA
"189",NA,1.04378283712785,1.02702702702703,1.03738317757009,1.04318181818182,1.08333333333333,NA,NA
"190",NA,1.08976510067114,1.10526315789474,1.03153153153153,1.1078431372549,0.846153846153846,NA,NA
"191",NA,1.02694380292533,1,1.03056768558952,1.02556538839725,1.09090909090909,NA,NA
"192",NA,1.00599700149925,1.07142857142857,0.940677966101695,1.01917545541707,0.916666666666667,NA,NA
"193",NA,1.03651266766021,1.11111111111111,1.07657657657658,1.02728127939793,0.909090909090909,NA,NA
"194",NA,0.994248741912293,1.08,1.15062761506276,0.958791208791209,0.7,NA,NA
"195",NA,0.838756326825741,1.09259259259259,1,0.783190066857689,1,NA,NA
"196",NA,1.06724137931034,1.03389830508475,1.06181818181818,1.06707317073171,1.42857142857143,NA,NA
"197",NA,1.12439418416801,1.09836065573771,1.1027397260274,1.13371428571429,1.2,NA,NA
"198",NA,1.05531609195402,1.13432835820896,1.1304347826087,1.02318548387097,1.16666666666667,NA,NA
"199",NA,0.965963240299524,1.06578947368421,0.994505494505495,0.945812807881773,1.14285714285714,NA,NA
"200",NA,1.14869626497533,1.19753086419753,1.16850828729282,1.11458333333333,1.125,Inf,NA
"201",NA,1.0840490797546,1.18556701030928,1.13238770685579,1.05514018691589,1.11111111111111,1.04347826086957,1.06153846153846
"202",NA,1.01584606677985,1.07826086956522,1.05219206680585,0.991142604074402,1.1,1.08333333333333,1
"203",NA,1.02562674094708,1.05645161290323,1.05753968253968,1.00536193029491,1.09090909090909,1.03846153846154,1
"204",NA,1.01303639326453,1.05343511450382,1.04502814258912,0.992,1.125,1,1
"205",NA,1.09490616621984,1.08695652173913,1.12208258527828,1.08243727598566,1.11111111111111,1.14814814814815,1.07246376811594
"206",NA,1.06611165523996,1.07333333333333,1.0864,1.05380794701987,1.06666666666667,1.03225806451613,1.05405405405405
"207",NA,1.04271933853927,1.1055900621118,1.05154639175258,1.02827965435978,1.0625,1.09375,1.01282051282051
"208",NA,1.02643171806167,1.07865168539326,1.02380952380952,1.02062643239114,1.05882352941176,1,1.0126582278481
"209",NA,1.05321888412017,1.07291666666667,1.07934336525308,1.03443113772455,1.11111111111111,1.02857142857143,1.0375
"210",NA,1.04686226568867,1.10194174757282,1.07604562737643,1.02026049204052,1.075,1.08333333333333,1.02409638554217
"211",NA,1.00428182172051,1.05726872246696,1.06478209658422,0.956737588652482,1.04651162790698,1.07692307692308,0.988235294117647
"212",NA,1.04108527131783,1.09583333333333,1.08407079646018,1.00148257968866,1.08888888888889,1.04761904761905,1.02380952380952
"213",NA,1.05472822040208,1.08745247148289,1.0734693877551,1.03330866025167,1.04081632653061,1.06818181818182,1.03488372093023
"214",NA,1.0571831980233,1.1048951048951,1.08079847908745,1.02793696275072,1.11764705882353,1.08510638297872,1.03370786516854
"215",NA,1.04507512520868,1.06645569620253,1.07211961301671,1.01742160278746,1.03508771929825,1.07843137254902,1.02173913043478
